,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist
1,0.0198,0.571,199640,0.87,6.60E-06,8,0.0564,-3.877,0,0.0641,172.716,4,0.815,Bye Bye Bye,NSYNC
2,0.3,0.55,266293,0.563,0,2,0.122,-7.019,1,0.0313,166.004,4,0.462,This I Promise You - Radio Edit,NSYNC
3,0.0479,0.647,191280,0.87,0,0,0.0485,-4.702,0,0.0798,165.103,4,0.906,It's Gonna Be Me,NSYNC
4,0.44,0.468,243493,0.535,0,10,0.101,-8.264,1,0.0436,168.001,4,0.298,God Must Have Spent a Little More Time on You - Remix,NSYNC
5,0.0743,0.754,199787,0.946,0.000391,8,0.401,-2.149,0,0.0403,112.042,4,0.865,I Want You Back - Radio Edit,NSYNC
6,0.0412,0.841,175520,0.866,0,11,0.212,-6.342,1,0.118,119.941,4,0.875,Pop - Radio Version,NSYNC
7,0.00799,0.685,209560,0.872,0,7,0.323,-6.939,1,0.0321,110.046,4,0.806,Tearin' up My Heart - Radio Edit,NSYNC
8,0.127,0.698,200105,0.882,0,4,0.15,-3.078,0,0.0863,106.083,4,0.462,Ciao Adios,Anne-Marie
9,0.905,0.42,257693,0.0802,0.857,7,0.135,-21.795,1,0.04,122.041,3,0.0513,Gary's Theme - Remastered,Bill Evans
10,0.0534,0.605,199904,0.873,0.837,1,0.314,-5.938,0,0.0344,126.026,4,0.47,Levels - Radio Edit,Avicii
11,0.396,0.635,329907,0.53,0,8,0.118,-8.1,1,0.0328,116.631,4,0.204,On Bended Knee,Boyz II Men
12,0.074,0.642,348893,0.421,0,5,0.0676,-9.32,0,0.0237,74.849,3,0.453,End Of The Road,Boyz II Men
13,0.105,0.563,235853,0.487,0,2,0.0884,-7.775,1,0.0234,142.53,3,0.248,I'll Make Love To You,Boyz II Men
14,0.468,0.578,201280,0.375,0,0,0.156,-12.951,1,0.0272,89.605,4,0.561,Water Runs Dry,Boyz II Men
15,0.499,0.571,301587,0.447,0,7,0.125,-8.757,1,0.0338,75.019,4,0.162,A Song For Mama,Boyz II Men
16,0.16,0.773,211907,0.801,0,0,0.111,-5.562,1,0.0281,98.205,4,0.8,As Long as You Love Me,Backstreet Boys
17,0.066,0.798,232027,0.862,1.65E-06,11,0.168,-4.95,0,0.0336,100.031,4,0.893,Quit Playing Games (With My Heart),Backstreet Boys
18,0.0877,0.527,287027,0.578,0,7,0.155,-6.012,0,0.0283,162.11,3,0.35,I'll Never Break Your Heart,Backstreet Boys
19,0.0563,0.729,274827,0.561,0,1,0.0657,-7.162,1,0.028,95.981,4,0.395,All I Have to Give,Backstreet Boys
20,0.117,0.697,203600,0.856,0,10,0.287,-4.439,0,0.0752,104.202,4,0.732,The Call,Backstreet Boys
21,0.24,0.683,213027,0.687,0,6,0.131,-5.833,0,0.0274,99.035,4,0.486,I Want It That Way,Backstreet Boys
22,0.245,0.634,234587,0.624,0,6,0.0767,-5.095,0,0.0255,167.992,4,0.668,Show Me the Meaning of Being Lonely,Backstreet Boys
23,0.252,0.571,230280,0.77,0,9,0.154,-5.46,1,0.03,96.09,4,0.529,Shape of My Heart,Backstreet Boys
24,0.0786,0.779,254067,0.711,2.40E-05,0,0.373,-4.054,1,0.144,96.472,4,0.857,Take Me There - Remix,Blackstreet
25,0.107,0.632,249147,0.518,0,6,0.354,-6.126,1,0.0313,90.007,4,0.45,If I Were a Boy,Beyoncé
26,0.185,0.757,211160,0.725,5.56E-05,0,0.568,-4.86,0,0.0315,92.96,4,0.887,...Baby One More Time,Britney Spears
27,0.161,0.667,213000,0.728,0,6,0.199,-5.476,0,0.0272,99.014,4,0.449,I Want It That Way,Backstreet Boys
28,0.0534,0.748,198067,0.939,0,0,0.32,-4.288,0,0.0341,104.001,4,0.962,(You Drive Me) Crazy,Britney Spears
29,0.0449,0.706,225253,0.893,1.04E-06,10,0.301,-4.355,0,0.0449,108.006,4,0.616,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys
30,0.0572,0.585,244507,0.776,7.74E-06,5,0.3,-5.898,1,0.0459,77.987,4,0.43,Complicated,Avril Lavigne
31,0.25,0.764,205507,0.811,0.000112,1,0.198,-5.245,1,0.0323,95.024,4,0.967,Lucky,Britney Spears
32,0.0145,0.739,241400,0.472,7.27E-06,1,0.207,-11.204,1,0.156,80.03,4,0.308,Childs Play,Drake
33,0.0565,0.853,205879,0.547,0,1,0.341,-7.535,1,0.194,142.065,4,0.677,Jumpman,Drake
34,0.00243,0.621,378893,0.683,0.00856,11,0.525,-5.619,0,0.242,124.283,5,0.0891,Monster,Kanye West
35,0.00631,0.715,213093,0.833,0,2,0.164,-5.379,1,0.108,95.487,4,0.607,Return Of The Mack - C & J Street Mix,Mark Morrison
36,0.12,0.532,213622,0.596,0,11,0.504,-9.912,0,0.187,119.296,5,0.486,I Know There's Gonna Be (Good Times),Jamie xx
37,0.00426,0.646,283067,0.629,0.277,8,0.122,-10.775,0,0.0427,109.013,4,0.176,Loud Places,Jamie xx
38,0.0397,0.786,302840,0.547,0.272,1,0.0378,-11.416,1,0.262,92.603,4,0.68,Sugah Daddy,D'Angelo
39,0.119,0.564,213622,0.594,0,11,0.536,-9.912,0,0.155,89.394,4,0.489,I Know There's Gonna Be (Good Times),Jamie xx
40,0.00257,0.896,267024,0.623,0.000258,2,0.039,-8.008,1,0.0571,134.962,4,0.564,Hotline Bling,Drake
41,0.0224,0.634,221960,0.609,0,6,0.099,-8.982,1,0.172,83.021,4,0.659,Kush,Lil Wayne
42,0.0648,0.855,310907,0.638,0,9,0.162,-4.968,0,0.143,122.967,4,0.433,All Day,Kanye West
43,0.00157,0.79,217707,0.676,0,8,0.25,-6.432,0,0.271,132.002,4,0.314,Big Rings,Drake
44,0.19,0.735,275840,0.41,0,11,0.341,-8.735,0,0.2,114.812,4,0.16,Know Yourself,Drake
45,0.0472,0.849,217693,0.408,0,6,0.101,-8.67,0,0.284,99.876,4,0.337,Wu-Tang Forever,Drake
46,0.228,0.628,260947,0.568,0.0183,10,0.0906,-10.695,1,0.14,191.404,4,0.618,Fame (2007 Remastered),David Bowie
47,0.141,0.5,256093,0.593,6.21E-06,1,0.0969,-4.34,1,0.0898,68.456,4,0.325,New Slaves,Kanye West
